CUST_ORD_NBR,SVC_LINE_NBR,SVC_NOTE_NBR,STR_LOC_ID,LAST_UPD_SNSH_ID,LAST_UPD_TS,SRC_CRT_TS,CRT_USER_AUD_ID,TKLR_BIN_CD,FLLW_UP_DT,CLS_DT,CLS_USER_AUD_ID,SRC_LAST_UPD_TS,SVC_NOTE_TXT,PREV_TKLR_BIN_CD,TBIN_UPD_USER_ID,TBIN_UPD_TS,CRT_SRC_MOD_ID,UPD_SRC_MOD_ID,ASSG_ASSOC_USER_ID,ACTV_FLG
589107,1,1,258,20150428,27Apr2015 13:26:50.481,17Mar2015 13:29:34.356,RXB5688,11,17Mar2015,18Mar2015,CMV407,18Mar2015 8:26:51.893,"Claudia, contacted Jason and customer is schedule for Friday btw 3 to 6 p.m.",-1,,,,,CMV407,Y
589107,1,2,258,20150428,27Apr2015 13:26:50.480,17Mar2015 13:30:25.067,RXB5688,11,21Mar2015,23Mar2015,SAM5433,23Mar2015 13:30:47.285,Check for measurement on Saturday.,-1,,,,,RXB5688,Y
589107,6,1,258,20150428,27Apr2015 13:26:50.504,24Mar2015 15:23:15.591,RXB5688,11,03Apr2015,06Apr2015,RXB5688,06Apr2015 16:25:04.274,Follow up on blinds on 4/3/15,-1,,,,,RXB5688,Y
589107,1,3,258,20150428,27Apr2015 13:26:50.504,25Mar2015 11:55:55.202,RXB5688,4,,,,25Mar2015 11:55:55.202,"3/24/15, 11:40 a.m., Spoke with Jason regarding the payment of $50 for each motorized blind.  Jason agreed to waive the $50 because I mentioned that the cost was not found in the specs or noticed on the measure document.",-1,,,,,,Y
589107,6,2,258,20150428,27Apr2015 13:26:50.480,25Mar2015 18:39:50.149,VNDR,4,,,,25Mar2015 18:39:50.149,** FROM VNDR ATTN:: S0601 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-08: S0602 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-08: S0603 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-08: S0604 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-08 ** CONTINUED,-1,,,,,,Y
589107,6,3,258,20150428,27Apr2015 13:26:50.504,25Mar2015 18:39:50.164,VNDR,4,,,,25Mar2015 18:39:50.164,** FROM VNDR ATTN: S0605 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-08: S0606 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-08: S0607 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-15: S0608 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-15 ** CONTINUED,-1,,,,,,Y
589107,6,4,258,20150428,27Apr2015 13:26:50.521,25Mar2015 18:39:50.169,VNDR,4,,,,25Mar2015 18:39:50.169,** FROM VNDR ATTN: S0609 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-08: S0610 RESCHEDULED - DUE TO OUT OF STOCK 2015-04-08,-1,,,,,,Y
589107,6,5,258,20150428,27Apr2015 13:26:50.503,26Mar2015 13:11:46.726,CMV407,4,,,,26Mar2015 13:11:46.726,Customer has been informed that material is on B/O with anew expected ship date of 4/9 and ETA of 415,-1,,,,,,Y
589107,6,6,258,20150428,27Apr2015 13:26:50.480,26Mar2015 13:12:21.005,CMV407,11,26Mar2015,26Mar2015,RXB5688,26Mar2015 14:29:38.263,Ramona-see previous,-1,,,,,RXB5688,Y
589107,6,7,258,20150428,27Apr2015 13:26:50.481,31Mar2015 22:52:55.301,VNDR,4,,,,31Mar2015 22:52:55.301,** FROM VNDR ATTN: PRODUCT SHIPPED ON 03/31/2015 : BOL# - 373609583448402 CARRNM - RPS/FED X GROUND COMMERCIAL-ZJ MEM FREIGHT: PRO# - 373609583448402,-1,,,,,,Y
589107,1,4,258,20150428,27Apr2015 13:26:50.521,06Apr2015 11:27:35.518,RXB5688,3,,06Apr2015,LXW9523,06Apr2015 13:16:17.172,"Jason, please contact customer for installing blinds already received.",-1,,,,,,Y
589107,1,5,258,20150428,27Apr2015 13:26:50.503,06Apr2015 11:28:59.447,RXB5688,11,06Apr2015,06Apr2015,CMV407,06Apr2015 13:51:54.849,"Claudia, Jason agreed to install blinds already received. Jason is requesting a $50 trip charge for a return install visit.",-1,,,,,CMV407,Y
589107,1,6,258,20150428,27Apr2015 13:26:50.480,06Apr2015 13:16:38.026,INSTLR,5,06Apr2015,06Apr2015,CMV407,06Apr2015 14:03:53.668,"**FROM D59 SVC PROV:IM ONLY SHOWING 1 BLIND RECD. WAITING ON THE OTHERS. THANKS! : LASHONDA,WILLIAMS",-1,,,,,,Y
589107,7,1,258,20150428,27Apr2015 13:26:50.504,06Apr2015 13:55:21.432,CMV407,3,,07Apr2015,LXW9523,07Apr2015 12:01:59.361,Here's the trip charge to install on 2 separate days,-1,,,,,,Y
589107,1,7,258,20150428,27Apr2015 13:26:50.481,06Apr2015 16:06:46.944,RXB5688,3,,07Apr2015,LXW9523,07Apr2015 12:02:27.095,"Jason, since the 2nd round of blinds are schedule for shipmnet on 4/15 and the 3rd round of blinds on 4/20, please contact customer after you receive the 2nd round of blind shipment.",-1,,,,,,Y
589107,1,8,258,20150428,27Apr2015 13:26:50.480,06Apr2015 16:07:19.751,RXB5688,11,15Apr2015,16Apr2015,RXB5688,16Apr2015 9:48:37.678,Follow up  on blind Delivery.,-1,,,,,RXB5688,Y
589107,1,9,258,20150428,27Apr2015 13:26:50.504,07Apr2015 12:02:51.660,INSTLR,5,07Apr2015,07Apr2015,CMV407,07Apr2015 13:47:49.561,"**FROM D59 SVC PROV:THANKS, REC'D PO FOR TRIP BACK OUT FOR THE 3RD ROUND. : LASHONDA,WILLIAMS",-1,,,,,,Y
589107,6,8,258,20150428,27Apr2015 13:26:50.480,08Apr2015 22:37:33.190,VNDR,4,,,,08Apr2015 22:37:33.190,** FROM VNDR ATTN: PRODUCT SHIPPED ON 04/08/2015 : BOL# - 017604517834990 CARRNM - RPS/FED X GROUND COMMERCIAL FREIGHT: PRO# - 017604517834990,-1,,,,,,Y
589107,1,10,258,20150428,27Apr2015 13:26:50.521,10Apr2015 13:51:57.667,CMV407,3,,10Apr2015,LXW9523,10Apr2015 16:19:43.422,Is anything scheduled?,-1,,,,,,Y
