CUST_ORD_NBR,SVC_LINE_NBR,SVC_NOTE_NBR,STR_LOC_ID,LAST_UPD_SNSH_ID,LAST_UPD_TS,SRC_CRT_TS,CRT_USER_AUD_ID,TKLR_BIN_CD,FLLW_UP_DT,CLS_DT,CLS_USER_AUD_ID,SRC_LAST_UPD_TS,SVC_NOTE_TXT,PREV_TKLR_BIN_CD,TBIN_UPD_USER_ID,TBIN_UPD_TS,CRT_SRC_MOD_ID,UPD_SRC_MOD_ID,ASSG_ASSOC_USER_ID,ACTV_FLG
660721,40,1,258,4657408,13May2016 18:46:52.584,23Apr2016 17:53:38.001,JLH1971,4,,,,13May2016 8:40:43.555,"2nd Call to Reschedule - 7 days- Left the cust. a voicemail about this order, pushing this out, thanks",-1,,,,,,Y
660721,40,2,258,4657408,13May2016 18:46:52.647,23Apr2016 17:53:58.001,JLH1971,4,,,,13May2016 8:40:43.555,"2nd Call to Reschedule - 7 days- See previous notes, thanks",-1,,,,,,Y
664440,1,2,258,4673426,18May2016 7:50:57.715,28Apr2016 12:53:55.001,SYSCOM,4,,,,17May2016 15:00:56.227,** FROM VNDR ATTN:S0101 RESCHEDULED - DUE TO OUT-OF-STOCK. NEW DATE: 2016-05-06T00:00:00-0400,-1,,,SYSCOM,,,Y
660721,40,3,258,4657408,13May2016 18:46:52.659,29Apr2016 12:49:06.001,TAM5409,4,,,,13May2016 8:40:43.555,"2nd Call to Reschedule - 7 days- See previous notes, thanks",-1,,,,,,Y
660721,40,4,258,4657408,13May2016 18:46:52.648,29Apr2016 12:49:30.001,TAM5409,4,,,,13May2016 8:40:43.555,"2nd Call to Reschedule - 7 days- See previous notes, thanks",-1,,,,,,Y
664440,1,3,258,4673426,18May2016 7:50:57.717,29Apr2016 18:06:10.001,SYSCOM,4,,,,17May2016 15:00:56.227,** FROM VNDR ATTN:S0101 PRODUCT SHIPPED; EXPECTED DELIVERY ON 2016-05-05T00:00:00-0400 BOL# - 5164720 PRO# - 484193,-1,,,SYSCOM,,,Y
664440,2,1,258,4673426,18May2016 7:50:57.716,03May2016 13:53:27.001,INSTLR,5,03May2016,03May2016,CMV407,17May2016 15:00:56.227,"**FROM D23 SVC PROV:Carpet was received damaged. Should be able to work around damaged area per diagrams : XML,SYSTEM",-1,,,sv,,,Y
664440,2,2,258,4673426,18May2016 7:50:57.711,03May2016 14:19:24.001,CMV407,3,03May2016,03May2016,AXS9276,17May2016 15:00:56.227,Thank you!!,-1,,,sv,,,Y
660721,21,2,258,4657408,13May2016 18:46:52.799,03May2016 18:25:23.001,SYSCOM,4,,,,13May2016 8:40:43.555,** FROM VNDR ATTN:S2136 PRODUCT SHIPPED; EXPECTED DELIVERY ON 2016-05-04T00:00:00-0400 BOL# - 224382 PRO# - C5434388 TRK# - C5434388,-1,,,SYSCOM,,,Y
664440,2,3,258,4673426,18May2016 7:50:57.718,04May2016 13:42:05.001,INSTLR,5,04May2016,05May2016,GXN6917,17May2016 15:00:56.227,"**FROM D23 SVC PROV:no prob : XML,SYSTEM",-1,,,sv,,,Y
