,CUST_LOC,all_notes,order
0,664440_258,"['** FROM VNDR ATTN:S0101 RESCHEDULED - DUE TO OUT-OF-STOCK. NEW DATE: 2016-05-06T00:00:00-0400', '2nd Call to Reschedule - 7 days- See previous notes, thanks', '2nd Call to Reschedule - 7 days- See previous notes, thanks', '** FROM VNDR ATTN:S0101 PRODUCT SHIPPED; EXPECTED DELIVERY ON 2016-05-05T00:00:00-0400 BOL# - 5164720 PRO# - 484193', '**FROM D23 SVC PROV:Carpet was received damaged. Should be able to work around damaged area per diagrams : XML,SYSTEM', 'Thank you!!', '** FROM VNDR ATTN:S2136 PRODUCT SHIPPED; EXPECTED DELIVERY ON 2016-05-04T00:00:00-0400 BOL# - 224382 PRO# - C5434388 TRK# - C5434388', '**FROM D23 SVC PROV:no prob : XML,SYSTEM']",1
1,666793_258,"['** FROM VNDR ATTN:S0101 PRODUCT SHIPPED; EXPECTED DELIVERY ON 2016-05-08T00:00:00-0400 BOL# - 3560198441 PRO# - 1ZR13V020362649614', '** FROM VNDR ATTN:S0101 PRODUCT SHIPPED; EXPECTED DELIVERY ON 2016-05-08T00:00:00-0400 BOL# - 3560198441 PRO# - 1ZR13V020362649614']",1
2,660721_258,"['Cust. said she already picked up these items after dealing with Cindy/D29, signed out and returned to the shelf, thanks']",1
3,667997_258,"['Appliance Ordering System - This Order Status Has Been Successfully Updated To DONE.', 'Appliance Ordering System - The Delivery Has Been Successfully Scheduled. Delivery Date = Fri May 13 00:00:00 EDT 2016', 'Appliance Ordering System - This Order Was Successfully Placed With The Vendor. Shipping Number = 667997']",1
4,667997_258,"['Appliance Ordering System - This Order Status Has Been Successfully Updated To DONE.', 'Appliance Ordering System - This Order Was Successfully Placed With The Vendor. Shipping Number = 667997']",1
5,669201_258,"['David/SSD Supervisor is getting with Dayzetta/Puller to get this dropped for a cust. p/u on 5/16 or 5/17, thanks', 'David/SSD Supervisor is getting with Dayzetta/Puller to get this dropped for a cust. p/u on 5/16 or 5/17, thanks']",1
6,669704_258,"['Appliance Ordering System - This Order Was Successfully Placed With The Vendor. Shipping Number =1FJB017296  0031843764', 'Appliance Ordering System - This Order Was Successfully Placed With The Vendor. Shipping Number = 669704', 'Appliance Ordering System - The Delivery Has Been Successfully Scheduled. Delivery Date = Thu May 19 00:00:00 EDT 2016', 'Appliance Ordering System - This Order Status Has Been Successfully Updated To DONE.']",1
7,669704_258,['Appliance Ordering System - This Order Status Has Been Successfully Updated To DONE.'],1
8,662866_258,"['** READ BEFORE SALE ** Warning: Inform customer that there will be a height difference between rooms. If this is not acceptable, additional charges for build up or rip up will apply. See diagram for more information. Please discuss with installer (CONT)', '** READ BEFORE SALE ** CONT: and customer. . Resolution: THD STORE TO DISCUSS WITH CUST. Suggested Resolution: Quote contains PROJECT REQUIREMENTS that will need to be addressed prior to completing purchase. .  NOTHING VERIFIED BY THDMS. . - PLEASE (CONT)', 'I called YOW to get shipping info. Tracing number is 337656304. The tracing number has not populated in SEFL yet. Gloria at YOW stated the product showed it shipped out on 4-19-16. I will follow up on this order on 4/22/16', 'Status: Customer not ready - 7 days- On Hold pending remeasure', 'Status: Customer not ready - 7 days- see previous', 'Status: Pending Order Completion - 7 days- see previous', '**FROM D30 SVC PROV:4/20/16 - LM for Ms. S to call so we can determine what is needed and so she can cancel the measure and just get the door installed. : PHANTOM,ORDERS']",0
9,665180_258,"['Mike-why did you do this as a ship to store order?', 'Mike-why did you do this as a ship to store order?']",0
